2025_01_06-11-17-04 {'ts': 536906734965637120, 'ambient': 16775451, 'ppg0': -16466605, 'ppg1': -16476568, 'ppg2': -16444616, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965644527, 'ambient': 16775334, 'ppg0': -16466428, 'ppg1': -16476346, 'ppg2': -16444567, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965651934, 'ambient': 16775281, 'ppg0': -16466232, 'ppg1': -16476306, 'ppg2': -16444614, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965659341, 'ambient': 16775308, 'ppg0': -16466258, 'ppg1': -16476320, 'ppg2': -16444717, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965666748, 'ambient': 16775307, 'ppg0': -16466209, 'ppg1': -16476333, 'ppg2': -16444667, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965674155, 'ambient': 16775296, 'ppg0': -16466075, 'ppg1': -16476372, 'ppg2': -16444601, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965681562, 'ambient': 16775259, 'ppg0': -16466178, 'ppg1': -16476143, 'ppg2': -16444473, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965688969, 'ambient': 16775270, 'ppg0': -16466103, 'ppg1': -16476184, 'ppg2': -16444518, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965696376, 'ambient': 16775294, 'ppg0': -16466168, 'ppg1': -16476226, 'ppg2': -16444481, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965703783, 'ambient': 16775296, 'ppg0': -16466107, 'ppg1': -16476218, 'ppg2': -16444562, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965711190, 'ambient': 16775263, 'ppg0': -16466006, 'ppg1': -16476208, 'ppg2': -16444524, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965718597, 'ambient': 16775257, 'ppg0': -16466025, 'ppg1': -16476218, 'ppg2': -16444491, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965726004, 'ambient': 16775354, 'ppg0': -16466133, 'ppg1': -16476292, 'ppg2': -16444526, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965733411, 'ambient': 16775373, 'ppg0': -16466120, 'ppg1': -16476304, 'ppg2': -16444513, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965740818, 'ambient': 16775309, 'ppg0': -16466077, 'ppg1': -16476183, 'ppg2': -16444570, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965748225, 'ambient': 16775327, 'ppg0': -16466042, 'ppg1': -16476245, 'ppg2': -16444542, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965755632, 'ambient': 16775318, 'ppg0': -16466040, 'ppg1': -16476314, 'ppg2': -16444548, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906734965763039, 'ambient': 16775405, 'ppg0': -16466112, 'ppg1': -16476302, 'ppg2': -16444503, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099151360, 'ambient': 16775317, 'ppg0': -16466104, 'ppg1': -16476328, 'ppg2': -16444517, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099158767, 'ambient': 16775292, 'ppg0': -16465993, 'ppg1': -16476327, 'ppg2': -16444490, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099166174, 'ambient': 16775296, 'ppg0': -16466086, 'ppg1': -16476296, 'ppg2': -16444418, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099173581, 'ambient': 16775334, 'ppg0': -16466037, 'ppg1': -16476372, 'ppg2': -16444489, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099180988, 'ambient': 16775339, 'ppg0': -16466055, 'ppg1': -16476462, 'ppg2': -16444563, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099188395, 'ambient': 16775307, 'ppg0': -16465986, 'ppg1': -16476336, 'ppg2': -16444386, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099195802, 'ambient': 16775348, 'ppg0': -16466017, 'ppg1': -16476392, 'ppg2': -16444355, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099203209, 'ambient': 16775263, 'ppg0': -16465919, 'ppg1': -16476282, 'ppg2': -16444347, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099210616, 'ambient': 16775221, 'ppg0': -16465907, 'ppg1': -16476258, 'ppg2': -16444268, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099218023, 'ambient': 16775329, 'ppg0': -16465912, 'ppg1': -16476281, 'ppg2': -16444275, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099225430, 'ambient': 16775260, 'ppg0': -16465776, 'ppg1': -16476233, 'ppg2': -16444132, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099232837, 'ambient': 16775414, 'ppg0': -16465871, 'ppg1': -16476209, 'ppg2': -16444185, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099240244, 'ambient': 16775214, 'ppg0': -16465596, 'ppg1': -16476003, 'ppg2': -16444008, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099247651, 'ambient': 16775317, 'ppg0': -16465610, 'ppg1': -16476004, 'ppg2': -16444023, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099255058, 'ambient': 16775314, 'ppg0': -16465570, 'ppg1': -16475953, 'ppg2': -16443884, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
